ID,Title,Abstract
11,"Modeling Future Polar Bear Habitat Under IPCC Climate Scenarios","Using climate projections from multiple IPCC models, this research forecasts polar bear habitat suitability through 2100. Results suggest that even under moderate warming scenarios, suitable sea ice habitat could decline by over 70%, threatening the long-term viability of several subpopulations unless greenhouse gas emissions are curtailed."
12,"Behavioral Responses of Polar Bears to Novel Prey Encounters in Terrestrial Environments","With less access to seals, polar bears are encountering new prey types on land. This observational study records interactions with caribou, birds, and fish, noting limited hunting success and high energetic costs, indicating that alternative prey may not compensate for loss of marine resources."
13,"Impacts of Offshore Oil Exploration on Polar Bear Movement and Foraging Behavior","Industrial activity in the Arctic is increasing, particularly offshore oil exploration. This study uses telemetry data to evaluate how seismic surveys and vessel traffic affect polar bear movements. Results show temporary displacement and increased vigilance behaviors, suggesting potential long-term disruptions to feeding patterns."
14,"The Role of Sea Ice Albedo Feedback in Polar Bear Habitat Loss","Sea ice albedo feedback amplifies Arctic warming, accelerating habitat loss for polar bears. This interdisciplinary study combines remote sensing and ecological modeling to quantify the cascading effects of reduced reflectivity on sea ice persistence and polar bear range contraction."
15,"Use of Camera Traps to Monitor Polar Bear Activity in Remote Arctic Regions","Camera trap networks offer a non-invasive method for tracking polar bear presence and behavior in remote areas. This pilot project deployed 50 cameras across coastal zones and found consistent seasonal visitation patterns, providing valuable data for estimating population density and movement corridors."
16,"Assessing the Efficacy of Conservation Corridors for Maintaining Polar Bear Connectivity","As sea ice diminishes, maintaining genetic and spatial connectivity becomes challenging. This landscape genetics study evaluates proposed conservation corridors linking fragmented habitats and finds that corridor placement must adapt dynamically to shifting ice patterns to remain effective."
17,"Physiological Stress Responses in Polar Bears Exposed to Human Disturbance","Fecal glucocorticoid metabolites were analyzed in polar bears exposed to aircraft overflights, tourism, and industrial operations. Elevated stress hormone levels were detected following disturbances, highlighting the need for buffer zones and disturbance protocols in sensitive areas."
18,"Polar Bear Predation on Seabird Colonies During On-Land Foraging Periods","Recent observations indicate polar bears increasingly preying on seabird colonies during summer months. This study quantifies predation rates and nesting success in affected colonies, finding significant decreases in seabird reproduction where polar bear visits are frequent."
19,"Comparative Analysis of Polar Bear and Brown Bear Hybridization Events in the Arctic","Hybridization between polar bears and brown bears is increasing due to overlapping ranges driven by climate change. This genetic analysis confirms hybrid status in several individuals and discusses implications for species integrity and conservation policy under the Endangered Species Act."
20,"Long-Term Effects of Reduced Sea Ice Duration on Polar Bear Body Condition","Body condition is a key indicator of health in polar bears. Using drone-based photogrammetry and field measurements over 15 years, this study shows a steady decline in average body mass, particularly among males, correlated with shorter annual periods of accessible sea ice."
21,"The Role of Marine Protected Areas in Polar Bear Conservation","Marine protected areas (MPAs) have been proposed as tools to safeguard polar bear habitat. This review evaluates current MPAs in polar bear range states and finds that only a small percentage align with core foraging zones, recommending strategic expansion to enhance conservation outcomes."
22,"Reproductive Success of Polar Bears in a Warming Arctic Environment","This study examines reproductive parameters including litter size and inter-birth intervals in relation to sea ice availability. Data show a decrease in litter size and longer intervals between births, suggesting that nutritional stress due to reduced hunting opportunities is affecting reproductive fitness."
23,"Developing Early Warning Systems for Polar Bear Incursions into Human Settlements","This study tests predictive models based on satellite imagery and weather data to anticipate when polar bears are likely to approach human settlements. Machine learning algorithms achieved 78% accuracy in predicting incursion events up to 72 hours in advance, offering a promising tool for community preparedness."
24,"The Impacts of Plastic Pollution on Polar Bear Health and Foraging Behavior","Although rarely documented, plastic ingestion was identified in several necropsied polar bears. This study reviews global pollution trends and suggests that microplastics and debris may enter the food chain through seal prey, potentially impacting predator health and immune function."
25,"Using Artificial Intelligence to Classify Polar Bear Behavior from Remote Sensing Data","AI-based image recognition systems were trained to classify polar bear behavior from camera trap and drone footage. The model successfully categorized resting, walking, swimming, and feeding behaviors with over 90% accuracy, offering scalable tools for long-term monitoring efforts."
